,Ireland,Lugh,Lauve,Fauda,Light,Son,Ethaun,Fomor,Wave,Land,Victory,Fool,Tuatha,Fire,Saor,Spear,Mananaun,Midyir,Conary,Ah-ro-he,Water,Brigit,Ingcel,King,Cow,Brian,Gobhaun,Destiny,Strength,Come,Balor,Wind,Road,Wonder-tales,Champion,Heart,Fer,Cian,Aodh,Battle,Harp,Pooka,Eyes,Fionnuala,Mor,Fomorians,Ogma,Plenty,Bruiden,Hands,Man,Father,Evil,Eye,Earth,Dagda,Thou,Boat,Danaan,Heaven,Cauldron,Angus,Day,Ochone,Turann,Hills,Sons,Lir,Teigue,Eochy,Derga,Lomna,Swans,Stone,Time,Sword,Country,Night,House,Milesians,Sea,Amergin,Horses,One,Nuada,Lough,Great,Children,Urcar,Mantle,Faery,Rogain,Cecht,Strike,Ildana,Mac,People,World,Danaans,Flame
Ireland,1.0,0.1808605418064826,0.1962595276746114,0.19313227558555188,0.20642880620887222,0.2134812328057472,0.2699556318992505,0.2179555841908166,0.16716182660557238,0.2429297651264233,0.20468793580319705,0.22049201085856282,0.33729050655853066,0.2043546600522869,0.26387903000622726,0.14620019754443347,0.14868479439402707,0.22610817157972127,0.1186963775135265,0.13717122926604675,0.2832311477201598,0.15376044164625804,0.16629253560461602,0.15646698441465134,0.2141613546560931,0.1649159962052765,0.21056606834251487,0.30305901974463717,0.3054736165767522,0.29953878262106254,0.22937293044505824,0.28363168075694817,0.3186609183267808,0.3246778821012704,0.35075616475694565,0.3317891374207165,0.26504899926376163,0.32063948971435824,0.29188119865793033,0.28593234994210687,0.3575881388419673,0.5044072166231108,0.3706246375674807,0.2576700705126076,0.17404398760723988,0.26715655672493155,0.37276915123753007,0.1632552744122931,0.1726233507188845,0.3618443325890349,0.3367699805273405,0.36428141903308325,0.16390159359482165,0.18297540945828566,0.2933872842848246,0.27945748671253123,0.18037704510867802,0.2960265407796142,0.24910927786607812,0.16921672241184307,0.15365603229853747,0.26928578608387327,0.25873894611544473,0.11991662634844154,0.2035373005868503,0.19848192366681167,0.2864710502642845,0.15221761694405936,0.1811809743566859,0.2513375662329902,0.14424007341527573,0.19520102838768594,0.2543207391373771,0.30170298545450724,0.4797839882518116,0.16437520144880244,0.37288660161624765,0.2864298434584935,0.3020355274477122,0.2452548979765677,0.3095519060278152,0.19540572122801197,0.3353508551853405,0.33592805469394343,0.21224688658672353,0.07149649538473818,0.21132930453700946,0.1682388363888337,0.18603792336608213,0.24240699351600195,0.2077660954654805,0.21883610704610534,0.3400150989872952,0.16807777351485093,0.1355864108228108,0.344074432781066,0.3801507619680171,0.363974455224816,0.20081562100668893,0.37184369716238247
Lugh,0.22807913307474656,1.0,0.2038327514190931,0.20897744282333414,0.216616626656586,0.21682154200608533,0.1658328267534351,0.12209941448657353,0.27524653395299886,0.3519453675131772,0.20569681079888966,0.23788113403257233,0.2842539735856727,0.19423440099522857,0.3646144087008196,0.15980262381724777,0.16108239610310104,0.34176752087867723,0.23195360194314243,0.1412727482218546,0.34477354385069875,0.15767837780801577,0.43090069606851183,0.16822680016096475,0.17243846342817007,0.24295534213773443,0.2591575837957643,0.40978224539211394,0.32540172565631575,0.20200560200512369,0.171787729244245,0.2920258560840367,0.3809205495078675,0.2886535565773156,0.2990272816467766,0.49442419741737537,0.30047209733572733,0.33280621274830435,0.1930041399495902,0.3001335007360079,0.2139389339596743,0.3582934969905511,0.3232992478999153,0.2918154901305106,0.378451221956419,0.250072927856167,0.28968118672558013,0.16121360505972965,0.5093106030019336,0.2897051442775478,0.4015910895855228,0.3461454306200935,0.16498961293913306,0.19418265698454584,0.1685356990235117,0.3219445864761291,0.19489491178230475,0.2633527833060556,0.23343520989743796,0.19512664853027323,0.30435292066254716,0.28416627315640725,0.300846091577837,0.12445683117190894,0.17652390307956786,0.21108834501094415,0.19478839627536296,0.17617747153514154,0.18523997545114235,0.28558356344330194,0.1559162893286964,0.20286066043366863,0.20705956279600188,0.2958968840334251,0.6237541756102156,0.16270009557046114,0.47775583444419073,0.2879216259193659,0.3434909794031469,0.42134763437963035,0.3821702234713664,0.2102182745030024,0.3420482107562359,0.34540014719955325,0.20321405754734226,0.07283031592022939,0.23047076087424234,0.17836970349248452,0.3238051348690077,0.2716889082791879,0.268186732543577,0.2351868279740352,0.36760057467072615,0.19294716565498474,0.1387248587647685,0.3433232961824357,0.40707401421709105,0.34029132694951936,0.2525034346010252,0.3928269364178843
Lauve,0.3275833621105629,0.5206511784117405,1.0,0.5821466822812302,0.3175767090917729,0.2826502327402639,0.3099248586122776,0.2989759449629318,0.41445949349711947,0.3136351751602004,0.3088307160356371,0.5357817551384108,0.35622864013236,0.2719674894176459,0.3043644097479433,0.29149359300456884,0.376969753600977,0.5164240679903146,0.35429637982737644,0.33952738432248264,0.5131953446910617,0.5383938661541604,0.6028152138732625,0.3128816288886149,0.34131488536830973,0.3569721184749613,0.3157843142447084,0.5314753519143751,0.3264714887608824,0.336043560722885,0.3455176276560346,0.26709651817812824,0.5151727899711743,0.2881811090437652,0.30175563127001626,0.29136195920940305,0.40382023371250464,0.33616647242602576,0.3324023392294225,0.3252910710248736,0.3170097607189487,0.5437471279470075,0.3105141110951658,0.6137296800045356,0.299322310866623,0.30170937490392025,0.3012969064335147,0.29663353498628026,0.51182561320863,0.28609423556549485,0.44868347623876226,0.2893837843126114,0.334724333991845,0.30390594109615626,0.3117137298937246,0.2875268526171978,0.26865379404993994,0.33198184036086914,0.3152954350080655,0.3507596905017471,0.4172686986747257,0.3354530716267413,0.5339684610970783,0.19215423818493496,0.40164495541767126,0.3812344881345586,0.39475311310093997,0.728171647147426,0.21594427361634505,0.5545681512332044,0.392336241937413,0.5270217337727907,0.6749100991965165,0.2998525297699134,0.6148431861723785,0.3377389140768063,0.5864902100529068,0.45270580123863385,0.2785296939413476,0.5472579781697531,0.29711506357897727,0.6492097014657823,0.3604385547363266,0.28605881238694847,0.3443166051077984,0.135084344263573,0.3300554187662229,0.6107298232035788,0.34621389881901454,0.7801978649446129,0.38570968193213045,0.38976257748000626,0.5545217915817705,0.418968660407354,0.3065897077986047,0.5061557897473228,0.2818688859976656,0.2771044994714872,0.3335945587112019,0.5146839404801311
Fauda,0.3186672879838255,0.5113146093057672,0.572979763718693,1.0,0.30465353437361353,0.26454692605428026,0.3059267514227182,0.21510079113988878,0.3969581401793494,0.29652564482872684,0.2952801320375834,0.47281188583881495,0.3467652465573733,0.26563362404677465,0.2960343499774681,0.2735812201882731,0.3538191056757791,0.4961050317305032,0.34908238485170706,0.3451395299392033,0.5176021613753531,0.5240356381279029,0.5445325516294638,0.28521876291471626,0.3300878493998422,0.346484170330767,0.29607798304125865,0.5192873850794364,0.32249904248103567,0.34310302450243835,0.3253907463890718,0.26105681290844013,0.48489936670504935,0.28453280983336565,0.2913897329952394,0.2695888809437161,0.39227196198509173,0.3274299380582087,0.33069803925872443,0.3189805863888213,0.3091747086533593,0.5209874923616412,0.2906156538229241,0.6091920185225524,0.3009817690358828,0.28978996413134417,0.28758908212192624,0.2746493172317843,0.4481134615156271,0.2660143584352959,0.43825601134530184,0.2807224549277746,0.29788619792690324,0.2812000038411938,0.31504608270378404,0.2680043949989159,0.2585840710419272,0.3257356112752852,0.31261637780624396,0.3491980189088569,0.4009648306923569,0.30017457464680913,0.5646349421337792,0.1935666867901046,0.3975092077717631,0.36920891460804484,0.3761595576329506,0.7029470831416975,0.21294692574989385,0.5559478038780119,0.3444899566780916,0.5006712185966014,0.673886297003688,0.2789692573381885,0.6140234021662905,0.3144977044254121,0.5661966993720797,0.44077793344368066,0.2568869811990985,0.5340868384817343,0.2838123675441541,0.6333275118403211,0.3552638425875877,0.2748483509598566,0.3150945068184972,0.13320834493982076,0.3211143107485773,0.5988851936569065,0.33752083709918657,0.759917946509321,0.3757992237386147,0.3828766985867756,0.5423973826076962,0.41752608545697,0.30894799460603434,0.4895209881116515,0.26172056403837307,0.25928982363701636,0.31279327139747504,0.5269418715101464
Light,0.33370095361347163,0.3793443153263669,0.2911691207895927,0.28342755208417186,1.0,0.4044363119181101,0.408827324316766,0.4078451128914877,0.4161653811731088,0.42605578282591566,0.436810639585137,0.5126720310253104,0.40115802508929727,0.37647012472188124,0.41456640122651967,0.39691226617944486,0.3702945581885737,0.3660219611153975,0.439970899199717,0.1731588355960682,0.3785734477249615,0.2639075641805471,0.35038370982979744,0.3499858704145719,0.430886877174306,0.3883551949489223,0.42725600494629756,0.3918173486804088,0.33929828933254863,0.40529706625637113,0.3801050792318204,0.37863186953839617,0.3891416202432702,0.4109242974099694,0.3700853888934581,0.3688908278762138,0.42005224051744955,0.37453375862379684,0.3158669097059657,0.3537055065152364,0.34257101827802194,0.3051754016755357,0.3473826886683127,0.3202736536683243,0.36925737054325986,0.41133478415460695,0.3669521517451982,0.4103704267042878,0.2905666139132595,0.39769650738723045,0.566829863724778,0.3712599891162784,0.36941195821879275,0.38263907908768957,0.39262515254470587,0.4080918759657076,0.24238622224615095,0.39025735634121406,0.43620760445581275,0.26566249638197037,0.376794590589947,0.44023447747616645,0.32421003609916155,0.1591111848385072,0.43477917472283706,0.30390447529820513,0.3765119151272712,0.23286736245016412,0.20989866892344203,0.28878745448252074,0.29372903439847126,0.46643106589533867,0.2745415720431526,0.4192842884263882,0.3508716944817992,0.45936779282373247,0.3589191243301677,0.39229114127945924,0.4018057407093882,0.376320545273868,0.3758277844380926,0.28361779275920135,0.3035156623803774,0.35139872383831605,0.42343834930982754,0.09185664606131054,0.394776621328166,0.2448916592214157,0.2996217118011925,0.3002435727258983,0.35639172964829374,0.28540109380848994,0.3611156047523235,0.2531762766665479,0.1954348168815115,0.37044535774852383,0.38944198810367997,0.4044807964962063,0.4426496912918949,0.2972041342603534
Son,0.30455744545108354,0.16713718462130472,0.23907230225781792,0.236412096158636,0.36631414207188323,1.0,0.34571567153636396,0.3078580899697388,0.29401516147406404,0.30544136816283396,0.3846850545779863,0.27829104370901003,0.4300742917591244,0.31225521059087885,0.3370758646968381,0.2806652773009667,0.21243945078370924,0.4061910101446166,0.248953045374827,0.14999181307524734,0.41319814215513107,0.18547847448207982,0.3656322104191663,0.3544632570106565,0.3577418111211855,0.3446476180417563,0.2776999673505219,0.4380742485355546,0.4145145672355221,0.42492179534678454,0.24524783991046362,0.3584250519165201,0.3514708006655983,0.37214795633469355,0.39716159330875167,0.39350303152811217,0.20406506985210215,0.4091762029519575,0.37779880111661035,0.3693182560131095,0.39849527207601354,0.3270611961053916,0.3886669706018087,0.3409621878319037,0.31522996853011964,0.3446952049744669,0.4093880572840026,0.26805440759530746,0.22675202035368136,0.3511793881649719,0.33289351176433807,0.35712785190911567,0.27438603988671495,0.2927169554690914,0.436275527101273,0.22251974454312484,0.21697315057573696,0.38311362566377766,0.44121665582124225,0.21469895366120384,0.36699472069580463,0.35078786909225573,0.34360506220065967,0.14846507707639794,0.3363659082901106,0.26705561034823494,0.4463783106475518,0.1944716029521961,0.21038699770979188,0.30876423396116204,0.17263732619746797,0.24975826309627436,0.2330226798142393,0.47506982516795554,0.38968348476783743,0.3049233452165961,0.3524412357449298,0.40148313964474336,0.37220409672990884,0.40646060814099905,0.32211024819388917,0.23782582848759318,0.38885449034389763,0.4004484512082248,0.36553454284013065,0.07695980397735236,0.34320678100773866,0.20635607814514523,0.247858849255306,0.3019278371667342,0.29342433824142633,0.1779537153483212,0.40028896263926433,0.19593204277243909,0.16139678052839881,0.34616699435230036,0.41415371705997833,0.37128091171897176,0.36185799403108393,0.34764636623713424
Ethaun,0.24109146917002314,0.289952211804405,0.27671099971646734,0.2723792667281686,0.4275512615846961,0.31746025150702595,1.0,0.40978902725489924,0.41915006443167047,0.534174007298416,0.3961799257440012,0.3242017065358531,0.48266977113989923,0.33798507454742666,0.45078942676818734,0.27067417912230074,0.5775055662831263,0.2536180956412138,0.2794453833469349,0.17686425361256555,0.5589167647433297,0.21236656108079122,0.4883785661566209,0.2457387340733512,0.39952930241150975,0.5927805511452412,0.3858650522576823,0.5238925765693404,0.4494517274557691,0.3612517922938554,0.28313131494365623,0.526082534641525,0.50907506544797,0.380718682444613,0.5465641394538836,0.5047876708227844,0.24279599436782137,0.5603755670474542,0.2752002546910126,0.4941837315268102,0.5256702358474185,0.4333896338938231,0.3913443893131736,0.42051861284075703,0.5502439317488821,0.541114996516551,0.610686941527709,0.3437304861265843,0.4357646619635958,0.31892534058280475,0.4614007949678664,0.4940149854518512,0.2616792037039172,0.3140511274482508,0.3754577128221354,0.4270333716774717,0.2655278228354353,0.4644842027167107,0.4235358826730384,0.2729412074733814,0.39692910576169255,0.2506341377663937,0.4008542965795479,0.42256747203173256,0.3948308473754801,0.33536036251201745,0.48523607337525493,0.2256627114548341,0.2678124164697402,0.24751147446419233,0.22504365377509375,0.2687820339947581,0.36145221280634904,0.5635597411903852,0.4574494734596145,0.2944532939434014,0.6246750300299175,0.21861079322212593,0.4557327841813008,0.5745754006812533,0.5555991120379422,0.28499687658923806,0.4006041094983271,0.37650647344140187,0.3203886627793272,0.09799733587019352,0.4333695270489304,0.24265861918864823,0.31128233176007997,0.3524142417002726,0.512391783923828,0.47889146361447593,0.4879194768815256,0.4311571685237703,0.189269358280243,0.5118681411224482,0.418923517720972,0.2465085357951064,0.46580581462469844,0.40168161629737636
Fomor,0.31986571423922405,0.3031604493936603,0.24770357389681116,0.2517402061379842,0.39391165659993355,0.3768382855962577,0.34685740168683293,1.0,0.38319961985729717,0.40691342280164705,0.3762804616765013,0.1978617070915317,0.4498274723970357,0.3978291219754597,0.5850525975952544,0.32168822118182083,0.26347451295157104,0.4224963086605537,0.19834541846794157,0.15337526321532777,0.4769762193493062,0.19353267897861612,0.5679170324308452,0.5132012970896864,0.3512887664985556,0.4560270119768694,0.5314915612768695,0.5083657511275774,0.4766979017364466,0.4525054119818524,0.2896791478393662,0.5044174171949899,0.541760577444068,0.6102480049240264,0.4380764162883442,0.697408559979324,0.3957897686792702,0.45190488258829253,0.4058448537206595,0.42171591374906275,0.5302612964986283,0.4982962964679819,0.46872281555150463,0.3468031554042707,0.3868678542370623,0.507548719718368,0.5128525200740264,0.29462393765070893,0.5018584886627215,0.44052970206754616,0.569561831433455,0.5128901952958468,0.26329361800134043,0.2735585899671331,0.5414420594829513,0.2720498970979856,0.22508253637078957,0.3982417489387826,0.44654950593231846,0.22810576576087246,0.35316290113838517,0.4961599187704711,0.36291696588516975,0.1551868420780806,0.278331737248502,0.27379229379309383,0.44192067550154995,0.20309971801984877,0.15266739820403483,0.32374480886031043,0.299721481924001,0.24910017084811323,0.24578645937311394,0.5621453061277106,0.5646098173111942,0.3141772083519678,0.5128530346163307,0.46719974135373243,0.5815654944536586,0.3812072455729448,0.6465479594593833,0.25220555829947255,0.4200166852606214,0.5076778907051708,0.5215131857069483,0.08239235362593149,0.41505931439475674,0.21341330706630116,0.3646735459468765,0.3186107917051425,0.3057749078095305,0.25873005690773715,0.3343512078194671,0.2287616681191027,0.17195965225506726,0.5061116293179898,0.5705528589747738,0.5486592256072724,0.4663337466680328,0.46308522350091985
Wave,0.3572269230012166,0.3818866924687288,0.42778619928728945,0.4191815232623804,0.445600169465613,0.4382963261613695,0.4156794650937054,0.469392867565187,1.0,0.40922433448261836,0.4467908226683291,0.31693104645906933,0.6171861348527965,0.4562787539998442,0.4993755059458654,0.32176664498218044,0.2989042284846264,0.5532432852311947,0.33101156173361845,0.20461823653645098,0.5162660352335984,0.26185584798259975,0.5018588624249589,0.45082318772713637,0.4183813695336041,0.5216551246710418,0.3032916875482907,0.5298407751965337,0.4736283881687555,0.5691195684326233,0.3543246310619094,0.4884854913452699,0.49625310441348414,0.4657902470528409,0.5232095386139024,0.4812330370928577,0.49424234614576384,0.5207462464445118,0.25901508755674557,0.4776540016334555,0.4646220445725019,0.44404332385941353,0.5323826001281803,0.41181408918829154,0.4881071391187436,0.5036094514944098,0.591894768135828,0.337865639649917,0.6898519764920278,0.5584074928381277,0.536116454539368,0.5269102989610179,0.3163059516333293,0.34789090137647005,0.4834951981107392,0.47448782642329534,0.272699054473376,0.45337243389492893,0.5232367189189574,0.2594514163033158,0.4487501819797691,0.5524495886289608,0.4328202589332645,0.3837504515005214,0.4595694625199422,0.3037165374371564,0.5213434006043762,0.23130143849863158,0.25564967363279545,0.39496709172270084,0.20154971336331406,0.5061663310624528,0.37042103673621196,0.5378074321579234,0.47235500824935595,0.34528250609542,0.47193411308096317,0.5024441199933236,0.4826265724803069,0.5075971985479454,0.45480588961963403,0.2955571353282632,0.43966273510076503,0.4663877511761366,0.5262553209636197,0.09958042603233085,0.40445687511930145,0.25959456301837447,0.3148001979908124,0.3790501464713775,0.19526756735077092,0.32080522976117326,0.5748052169311862,0.2302344433681858,0.18441322906146795,0.5612357087789073,0.4998857941527064,0.5275940141507135,0.5078210428359984,0.43462552888773825
Land,0.5174965113043603,0.5103998824446268,0.25522018272466396,0.24656427219848387,0.48765469785959215,0.4655371956168994,0.4130232092308123,0.5604322118973748,0.41672944855362254,1.0,0.5194816798297652,0.29209448967483925,0.571333490535124,0.4753891544910825,0.5798006595944205,0.36827613073069376,0.3613883610897508,0.5112335626228619,0.4992754169867982,0.17484323368119525,0.5541425412820054,0.22590937743526157,0.5155074184733097,0.5453908069378232,0.38947931301574684,0.5473967683310794,0.34070999140345604,0.5407449641164132,0.5870553414910251,0.5280423667397498,0.5012134199981783,0.5451552791664418,0.5621139857810223,0.5518687332716393,0.5586717862171812,0.5017743648561431,0.44557302463403475,0.563538118292639,0.2636971929316564,0.4730879659375484,0.5104867527866876,0.4709590195953852,0.49105756068265793,0.4018367867434241,0.5221559849290376,0.5766488037724281,0.5250054020491174,0.34849185755000195,0.6123182136208157,0.5530190171372206,0.5417236438205578,0.5406010218961821,0.35221959001048064,0.3623092626019948,0.5884699987720111,0.5981738609482417,0.2518730339701505,0.4660378385385362,0.633283968196758,0.25226146758767515,0.4605611497425884,0.5549386608043714,0.4047275789353288,0.15068154709028306,0.4576167326200455,0.31984299919186937,0.5562181751586085,0.22950804082743143,0.23467792606102236,0.37440106292592745,0.185202609860058,0.47414644112133186,0.30067749344898476,0.6082199538275613,0.4932169010653285,0.386294872932674,0.529130990469277,0.5578254795729258,0.5783734474733995,0.5551729210104245,0.5419251503172445,0.28387682091026895,0.45267794522566634,0.5201646030302338,0.5937200220737392,0.08978285822502918,0.41177327238103567,0.23978693876215942,0.4362011563469928,0.3625575833700634,0.3476859418475865,0.3110125090409331,0.5375526318070738,0.22097697609615424,0.18077545657982827,0.5250960358031351,0.5347675524174191,0.5774263685102549,0.5803060081580977,0.521412863390538
