,Source,Target,Weight
0,Odin,Name,140.0
1,Odin,Dwarf,48.0
2,Odin,Son,39.0
3,Thor,Name,34.0
4,Hvergelmer,Odin,30.0
5,Odin,Thor,29.0
6,Odin,Freyja,26.0
7,Hvergelmer,Name,25.0
8,Odin,Hvergelmer,24.0
9,Thor,Odin,22.0
10,Rolf,Krake,22.0
11,Odin,Gods,20.0
12,Odin,Streams,19.0
13,Odin,Giant,18.0
14,Odin,Balder,17.0
15,Thor,Hammer,17.0
16,Thor,Giant,17.0
17,Odin,Frey,17.0
18,Odin,Frigg,16.0
19,Odin,Loke,15.0
20,Loke,Odin,15.0
21,Thor,Hrungner,15.0
22,Odin,Hall,14.0
23,Odin,Asas,14.0
24,Thor,Dwarf,14.0
25,Odin,Wolf,14.0
26,Odin,Njord,14.0
27,Loke,Dwarf,14.0
28,Hvergelmer,Dwarf,14.0
29,Frigg,Name,13.0
30,Elder,Edda,13.0
31,Sigurd,Name,13.0
32,Gunnar,Sigurd,13.0
33,Krake,Name,13.0
34,Ygdrasil,Dwarf,13.0
35,Odin,Valkyrie,13.0
36,Njord,Frey,12.0
37,Thor,Son,12.0
38,Loke,Name,12.0
39,Hel,Balder,12.0
40,Son,Odin,12.0
41,Frigg,Odin,11.0
42,Odin,Wife,11.0
43,Ygdrasil,Odin,11.0
44,Thor,Thjalfe,11.0
45,Balder,Hel,11.0
46,Thor,Loke,11.0
47,Suttung,Mead,11.0
48,Sigurd,Son,11.0
49,Sigurd,Brynhild,11.0
50,Odin,Abode,11.0
51,Sigurd,Odin,11.0
52,Odin,King,10.0
53,Ganglere,Har,10.0
54,Vala,Prophecy,10.0
55,Odin,Father,10.0
56,Odin,Mead,10.0
57,Frey,Freyja,10.0
58,Freyja,Odin,10.0
59,Loke,Thor,10.0
60,Loke,Gods,10.0
61,Odin,Horse,10.0
62,Brynhild,Sigurd,10.0
63,Frode,Mill,10.0
64,Rolf,Name,10.0
65,Odin,People,10.0
66,Norse,Mythology,10.0
67,Odin,Ragnarok,10.0
68,Odin,Sigurd,10.0
69,Hvergelmer,Giant,10.0
70,Hvergelmer,Father,10.0
71,Hvergelmer,Son,10.0
72,Odin,Mother,10.0
73,Odin,Mimer,9.0
74,Freyja,Name,9.0
75,Odin,Names,9.0
76,Loke,Son,9.0
77,Thor,Hall,9.0
78,Thor,Utgard-loke,9.0
79,Hymer,Thor,9.0
80,Odin,Home,9.0
81,Geirrod,Thor,9.0
82,Odin,Daughter,9.0
83,Regin,Fafner,9.0
84,Sigurd,Gunnar,9.0
85,Gunnar,Hogne,9.0
86,Frode,Name,9.0
88,Brynhild,Odin,9.0
89,Son,Dwarf,9.0
90,Odin,Goddess,9.0
91,Hvergelmer,Thor,9.0
92,Skjold,Son,8.0
93,Odin,Land,8.0
94,Odin,Place,8.0
95,Hvergelmer,Streams,8.0
96,Odin,World,8.0
97,Njord,Freyja,8.0
98,Frey,Name,8.0
99,Thor,Man,8.0
100,Skidbladner,Odin,8.0
101,Thor,Home,8.0
102,Thor,Skrymer,8.0
103,Odin,Hermod,8.0
104,Heimdal,Odin,8.0
105,Odin,Asgard,8.0
106,Hel,Odin,8.0
107,Odin,Brother,8.0
108,Odin,Suttung,8.0
109,Odin,Drink,8.0
110,Bauge,Bolverk,8.0
111,Odin,Hrungner,8.0
112,Thor,River,8.0
113,Thor,Geirrod,8.0
114,Sigurd,Gudrun,8.0
115,Hel,Name,8.0
116,Odin,Hoder,8.0
117,Frey,Odin,8.0
118,Krake,Odin,8.0
119,Odin,Hel,8.0
120,Odin,Stream,8.0
121,God,World,7.0
122,Sif,Hair,7.0
123,Asgard,Odin,7.0
124,Loke,Frigg,7.0
126,Ragnarok,Gods,7.0
127,Skirner,Frey,7.0
128,Thor,Giantess,7.0
129,Thor,Journey,7.0
130,Thor,Wife,7.0
131,Odin,Sleipner,7.0
133,Thor,Hymer,7.0
134,Thor,Head,7.0
135,Balder,Asas,7.0
136,Balder,Frigg,7.0
137,Balder,Name,7.0
138,Odin,Ygdrasil,7.0
139,Odin,Fenris-wolf,7.0
140,Æger,Brage,7.0
141,Bauge,Suttung,7.0
142,Thor,Father,7.0
143,Sigurd,Fafner,7.0
144,Sigurd,Sword,7.0
145,Brynhild,Name,7.0
146,Sigurd,Gjuke,7.0
147,Gjuke,Sigurd,7.0
148,Asaland,People,7.0
149,Svithjod,Odin,7.0
150,Sweden,Odin,7.0
151,Odin,God,7.0
152,Skade,Abode,7.0
153,Odin,Sun,7.0
154,Son,Name,7.0
155,Rolf,Odin,7.0
156,Odin,Frode,7.0
157,Thor,Hvergelmer,7.0
158,Ygdrasil,Sigurd,7.0
159,Ygdrasil,Name,7.0
161,Odin,Svipdag,7.0
162,Jupiter,Son,6.0
163,Pompey,Odin,6.0
164,Odin,Men,6.0
167,Odin,Man,6.0
168,Odin,Country,6.0
169,Asgard,Gods,6.0
170,Jotunheim,Name,6.0
171,Bil,Hjuke,6.0
172,Har,Gods,6.0
173,Thor,Gods,6.0
175,Sif,Thor,6.0
176,Loke,Asas,6.0
177,Frey,Gerd,6.0
178,Odin,Valhal,6.0
179,Thor,Night,6.0
180,Thor,Place,6.0
181,Thjalfe,Race,6.0
182,Thor,Foot,6.0
183,Balder,Odin,6.0
184,Loke,Narfe,6.0
185,Odin,Vidar,6.0
186,Odin,Head,6.0
187,Bolverk,Bauge,6.0
188,Suttung,Bolverk,6.0
189,Odin,Æger,6.0
190,Hrungner,Thor,6.0
191,Odin,Giantess,6.0
192,Odin,Skade,6.0
193,Frigg,Thor,6.0
195,Fafner,Regin,6.0
196,Hogne,Sigurd,6.0
197,Brynhild,Gudrun,6.0
198,Sorle,Hamder,6.0
199,Svithjod,Name,6.0
200,Vog,King,6.0
201,Rolf,Berserks,6.0
203,Odin,Gylfe,6.0
204,Great,Svithjod,6.0
205,Vanaland,People,6.0
207,Hvergelmer,Names,6.0
208,Sisters,Fate,6.0
209,Thor,Abode,6.0
210,Alfather,Abode,6.0
211,Balder,Abode,6.0
212,Freyja,Abode,6.0
213,Odin,Heimdal,6.0
214,Odin,Husband,6.0
215,Ymer,Dwarf,6.0
216,Ragnarok,Dwarf,6.0
217,Odin,Mill,6.0
218,Hvergelmer,God,6.0
219,Ragnarok,Odin,6.0
220,Skjold,Dwarf,6.0
221,Gjuke,Name,6.0
222,Odin,Vale,6.0
226,Odin,Time,5.0
227,Njord,Son,5.0
230,Saxland,Sons,5.0
231,Svithjod,Sweden,5.0
232,Odin,Things,5.0
233,Gefjun,Land,5.0
234,Bestla,Odin,5.0
235,Edda,Ganglere,5.0
237,Mimer,Ash,5.0
238,Urd,Skuld,5.0
240,Thor,Men,5.0
241,Njord,Noatun,5.0
242,Njord,Skade,5.0
243,Njord,Daughter,5.0
244,Freyja,Asas,5.0
246,Odin,Asynjes,5.0
247,Odin,Ganglere,5.0
248,Odin,Har,5.0
249,Freyja,Names,5.0
250,Gna,Name,5.0
251,Frey,Skirner,5.0
252,Lay,Grimner,5.0
253,Odin,Brage,5.0
256,Loke,Death,5.0
261,Loke,Man,5.0
263,Thor,Asas,5.0
264,Thor,Air,5.0
265,Loke,Balder,5.0
266,Loke,Ring,5.0
267,Balder,Gods,5.0
268,Balder,Hermod,5.0
269,Frey,Heimdal,5.0
270,Hel,Horse,5.0
271,Odin,Death,5.0
272,Vidar,Loke,5.0
273,Thor,Njord,5.0
274,Thor,Frey,5.0
275,Thor,Freyja,5.0
276,Idun,Loke,5.0
277,Son,Mead,5.0
278,Odin,Bauge,5.0
279,Bauge,Mead,5.0
280,Hence,Odin,5.0
281,Fenris-wolf,Odin,5.0
282,Æger,Odin,5.0
283,Thor,Horse,5.0
284,Thor,Giants,5.0
285,Thor,Flint-stone,5.0
286,Odin,Ymer,5.0
287,Æger,Fire,5.0
288,Odin,Gefjun,5.0
289,Odin,Sif,5.0
290,Fafner,Gold,5.0
291,Sigurd,Sigmund,5.0
292,Volsung,Sigurd,5.0
293,Regin,Sigurd,5.0
294,Sigurd,Grane,5.0
295,Sigurd,Wife,5.0
296,Sigurd,Children,5.0
297,Gjuke,Gudrun,5.0
298,Gunnar,Gudrun,5.0
299,Gunnar,Gjuke,5.0
300,Sigurd,Atle,5.0
301,Brynhild,Gunnar,5.0
302,Skjold,Name,5.0
303,Krake,King,5.0
307,Svithjod,People,5.0
308,Sweden,Name,5.0
309,Odin,Loder,5.0
310,Geirrod,Odin,5.0
311,Odin,Thund,5.0
312,Odin,Saga,5.0
313,Heimdal,Abode,5.0
314,Niblung,Story,5.0
315,Odin,Brynhild,5.0
316,Gudrun,Name,5.0
318,Frey,Dwarf,5.0
319,Wife,Odin,5.0
321,Freyja,Father,5.0
322,Sigurd,Dwarf,5.0
323,Frigg,Dwarf,5.0
325,Hvergelmer,Freyja,5.0
326,Æger,Son,5.0
327,Odin,River,5.0
328,Freyja,Thor,5.0
329,Gna,Odin,5.0
332,Odin,Ironwood,5.0
333,Odin,Svidur,5.0
341,Skjold,Fridleif,4.0
343,Fridleif,Son,4.0
344,Odin,Sons,4.0
349,Odin,Journey,4.0
350,Odin,Sweden,4.0
351,Seeland,Land,4.0
352,Sweden,Lake,4.0
354,Gefjun,Gylfe,4.0
356,Har,Alfather,4.0
357,Herjan,Hnikar,4.0
358,Hel,World,4.0
359,Niflheim,Hvergelmer,4.0
360,Vala,Sun,4.0
361,Muspelheim,Niflheim,4.0
362,Ymer,Har,4.0
364,Grimner,Lay,4.0
366,Asgard,Place,4.0
367,Jord,Son,4.0
368,Vala,Gods,4.0
369,Prophecy,Gods,4.0
370,Ygdrasil,Ash,4.0
371,Hvergelmer,Nidhug,4.0
372,Prophecy,Mimer,4.0
373,Sleipner,Odin,4.0
374,Thor,Day,4.0
375,Har,Men,4.0
377,Urd,Har,4.0
378,Geirrod,Name,4.0
380,Balder,Things,4.0
381,Njord,Wife,4.0
382,Skade,Gods,4.0
383,Skade,Njord,4.0
384,Frey,Daughter,4.0
385,Tyr,Hand,4.0
386,Tyr,Wolf,4.0
387,Brage,Asas,4.0
388,Odin,Uller,4.0
389,Forsete,Loke,4.0
390,Loke,Fenris-wolf,4.0
391,Odin,Chapter,4.0
393,Frigg,Freyja,4.0
395,Hofvarpner,Name,4.0
396,Thor,Mother,4.0
397,Gerd,Frey,4.0
401,Valhal,Odin,4.0
406,Thor,Strength,4.0
407,Thor,Children,4.0
408,Thor,Daughter,4.0
