,Loke,Odin,Son,Name,Hvergelmer,Sigurd,Streams,Har,Hogne,Balder,Njord,Gods,Dwarf,Ragnarok,Frey,Edda,Hrungner,Frigg,Brynhild,Heimdal,King,Grimner,Fjolner,Daughter,Bolverk,Wife,Æger,Vidar,Hnikar,Hel,Giant,Father,Fafner,Asas,Baleyg,Krake,Herteit,Ganglere,Bileyg,Sidhot,Horse,Hall,Hnikud,Brage,Asgard,Thor,Sidskeg,Glapsvid,Geirrod,Gefjun,Fjolsvid,Svipal,Sigfather,Rolf,Mother,Jotunheim,Gold,Alfather,Sweden,Skade,Sad,Gunnar,Forsete,Denmark,Vale,Thride,Gylfe,Fenris-wolf,Earth,Abode,Sons,Man,Idun,Helblinde,Ymer,Valhal,Urd,Thud,Thjasse,Skjold,Sif,Gerd,Death,Brother,Atrid,Night,Men,Farmatyr,Uller,Mimer,Gudrun,Freyja,Gjuke,World,Tyr,Suttung,Frode,Valkyrie,Ygdrasil,Norse
Loke,1.0,0.3098672029286595,0.49200709077955607,0.3949825699728206,0.4791066036394896,0.3537383953761186,0.5000067311319046,0.4112441384907411,0.44190550973231607,0.2900646180856948,0.48599846033073546,0.40141886996063336,0.35154117283621367,0.34237972245064857,0.447468849539638,0.20428415049937715,0.34929840098954845,0.5344417048520463,0.370971993673079,0.4853449016505298,0.46707283456438053,0.6666864011958638,0.4299201931909091,0.4587750297830837,0.4136235674836965,0.5259391464986192,0.30756458947477483,0.368016759431906,0.2865522485411332,0.40005273280594406,0.35896943326553554,0.4444255295554472,0.34285083386117127,0.3961931716739984,0.6470188331362084,0.40688082143221455,0.638240051923465,0.4301962652772138,0.37212961271150524,0.6489293750547586,0.43898556531386307,0.44205406385050466,0.44011304852500865,0.4834548096894562,0.3820961003741515,0.3157614158929007,0.6452345919959604,0.34280087480885957,0.3807708687688903,0.483865082245046,0.6380369980753895,0.3805972405941986,0.6493775115086248,0.40106021193926084,0.48810295827349987,0.47848719280137564,0.30769251949728504,0.4277537992782413,0.510559322307085,0.4056675878052972,0.3089002746622502,0.47389904106763714,0.4202086929023875,0.4302229659317008,0.4047565132304592,0.2604961175462069,0.30289983088756306,0.4944020778362827,0.4136126495659228,0.37210602872296505,0.5889304598162358,0.4927375374742235,0.40450685759389576,0.2984504716443621,0.4743630149336757,0.5034568226963794,0.4433718455428496,0.5105779737404973,0.4775020983247139,0.48759460752842076,0.15626890566155016,0.48627125371092705,0.5046068658579775,0.3377352327782546,0.37323029411904146,0.44613423167899663,0.4998032698467791,0.4749819071736559,0.4476828914601716,0.18274459162702406,0.3046187886224842,0.5551258831108759,0.45701142148995366,0.24461621767259506,0.42609742379235327,0.21720394381422994,0.1557243998138653,0.4308609884655286,0.48824910303670127,0.1901915160952384
Odin,0.24332676204505357,1.0,0.1936741556058885,0.16828892787259464,0.2975966472683474,0.23808006474274176,0.27331559574007624,0.2637807939531328,0.27528441946602705,0.16482227472037725,0.23051399185239116,0.22760221487406126,0.21882484437679353,0.16641771349467388,0.14979196401615197,0.1535330077197047,0.26498358298445784,0.22691124280508357,0.25146374586457415,0.24033530046815615,0.2715312693343401,0.2888451287901366,0.31383621839061565,0.24430723368386792,0.1872723215806141,0.2233691366931253,0.2666389251444811,0.26418364922410015,0.23435354332824454,0.2772967059643172,0.23755972849166673,0.24953861926953658,0.2800857819584734,0.2651551101948892,0.30191894970004907,0.30194118839937417,0.3008736334838265,0.2626725395111164,0.24889277115566713,0.2997348241761052,0.23385138838914465,0.283294338733723,0.2692333464473691,0.2610592030444864,0.2862603005345825,0.1710811981800439,0.3014625343401809,0.24118858231494675,0.2872521660163186,0.27709500702685913,0.30179653215000884,0.25642969136807026,0.301819540452018,0.2968672712472128,0.28100594441822624,0.2616538510116578,0.2722757860259168,0.30572329978368573,0.302636868456802,0.2781870906859814,0.25368109292265595,0.2939923351044023,0.33733646351385177,0.29945712431237853,0.27698857045931463,0.23689062128819993,0.24433545754798894,0.2807147422745077,0.2990255904768903,0.2797664760818799,0.12512306507038365,0.2833343050372413,0.31343889608594205,0.23748682597088233,0.296470682559523,0.28806254885054033,0.30108809397919506,0.3076054401853234,0.27957409293483376,0.2949631716481598,0.2627106441491979,0.26178471827451816,0.28713106700850344,0.2994716876773668,0.2305151021167317,0.2690214467382158,0.2895022650936288,0.3009740506885124,0.27936243507969594,0.16451735400080636,0.2512430725356849,0.21755745932283246,0.2574310132902413,0.2375527506259001,0.29255163903907183,0.1844018676266958,0.12309582830786917,0.27826018594545937,0.2615899464206631,0.1663590432535328
Son,0.4412253396815557,0.19640384954032822,1.0,0.4587898138616379,0.33319981464092435,0.3746658170668924,0.5295498676319408,0.4700396875404101,0.3181067349231008,0.41740986143383074,0.31180624269015367,0.3906122561137338,0.3667535025113683,0.4508399474671439,0.4369266216823661,0.21355758287925175,0.3467339477288177,0.496631731046096,0.35069274190979316,0.4855832945845025,0.39038722278786653,0.6253410918512947,0.38732177829390646,0.45111597937169445,0.37885427792461973,0.46215895389824724,0.4277112991819594,0.475495832487897,0.2916901962640437,0.41613485310451465,0.4279492832390235,0.44652416455430866,0.18880935099098559,0.5357674906468382,0.6909895150817041,0.3184898022246315,0.6804050244547999,0.45351826951377017,0.37847230624117806,0.4146567379332169,0.5142807255251145,0.5988822004495254,0.3900743865500165,0.4851483961797491,0.4387770347434512,0.403859783013634,0.4218678140427081,0.3497006469390556,0.5132457149059142,0.3510463286708086,0.480082484587432,0.36219612585797184,0.49212336502576254,0.34243770862228684,0.38068579805574676,0.46178638812557854,0.3446746173989301,0.41825812894787906,0.3018472843845068,0.3867800213101984,0.316431964957161,0.35061538070095266,0.5051030507265558,0.42942531010677387,0.44307729550606223,0.265537871485664,0.2746388645254678,0.4856740975751797,0.3927194543490231,0.31866850066728813,0.29635466569976715,0.5964671532793049,0.46195754045084275,0.3056619819029627,0.4594335039237756,0.4976456879746999,0.3857603789253225,0.41980482854493395,0.4587937096298239,0.33669508035592316,0.4399814379877404,0.4807179870756014,0.4795878471032953,0.3981681240417736,0.36753329530761003,0.425050606897499,0.4325561420746794,0.5158753512446586,0.49954892722095123,0.2190900619786514,0.4797598478976164,0.4500161126674444,0.45948068797426045,0.27064071396919437,0.5126437014125602,0.20034428619982936,0.14414567351457938,0.495506511151673,0.4317483172189743,0.19935671375480582
Name,0.2357951510413304,0.3676717786751244,0.23822973067053405,1.0,0.23717412495925075,0.2538117056303951,0.24775919312000347,0.22429732241835715,0.3226846906845024,0.25342648322479805,0.23531878846154725,0.24115767035812516,0.3062446620437962,0.21482092512947676,0.24507045361207563,0.2055129640549699,0.22753274173177182,0.23775453998257062,0.22441595530555006,0.22320119752583858,0.2861485048173196,0.21929780499986623,0.2708555392866101,0.2322852202389648,0.6428004296772023,0.24645219071573982,0.21926786672714665,0.2358044782293185,0.20628155684221725,0.2246408326729012,0.24720067740584833,0.45212657679050394,0.1913714409708108,0.22186594708435398,0.21911850841207214,0.23444485284052458,0.2187693464339545,0.22356523734675285,0.19494432830056646,0.22322467371604532,0.2497399482622985,0.24720445548632458,0.19498608733691972,0.21795003703669108,0.21190018398192112,0.23735808287639182,0.22305273399119582,0.1868055688672172,0.36478890624327237,0.22453488354742016,0.21712832790453965,0.18009198076909153,0.2229597038935618,0.22608112165089916,0.24525304171835977,0.22526161414088125,0.24730129685193664,0.22402554802176655,0.23207701031780478,0.23354077725281072,0.17565020500350081,0.24165279533352066,0.4862374912248117,0.22360800180325516,0.22610576458033224,0.16024323473793042,0.21107167234958382,0.2243344268285835,0.24508894206506485,0.24605456703146555,0.24599698085945684,0.23494614340088169,0.4526310495393114,0.16336457549339767,0.21966534467158194,0.21843668504187558,0.22963424951052402,0.2151011534510217,0.2187312185794103,0.22937344063881146,0.22972452622852987,0.24679037976273832,0.23321054310382008,0.22570102853879248,0.171789913656255,0.22271569428091004,0.2413233107229786,0.20771415545865962,0.2219902651580149,0.1897460391951719,0.4918997657701285,0.2288034315625203,0.22366330689205985,0.24513870648213892,0.23575203502872916,0.23496863222818534,0.15952997961273246,0.23682186893679816,0.24251747741129742,0.19817115047065428
Hvergelmer,0.47442408262453784,0.4423493885498431,0.43901218689651333,0.507332833444088,1.0,0.3997555124237926,0.5138655528621967,0.47348376238707607,0.37685453087169773,0.45971266777228975,0.4708768878732493,0.485362187831487,0.4540148899034606,0.47454167396414393,0.29865300106818127,0.24845402881203396,0.43436309339771123,0.4721862028577985,0.45059538813629685,0.4671573266689338,0.47435712876604097,0.3898657070073279,0.36651871186723284,0.45525118375530116,0.4982771341348881,0.4641788373986044,0.44553524571013614,0.5257627361594917,0.31727745371205585,0.4397988304497318,0.49212276002889427,0.5357476862372164,0.3119042264436217,0.4949220086239468,0.4821466764726856,0.44137999201234696,0.4837839367992611,0.4301133596792351,0.32378737050496514,0.4192413501912925,0.49578116582151266,0.4731913200856403,0.35308139920925213,0.45632791118448984,0.44009652606147814,0.5111549242492108,0.4228950372368459,0.31142782722199774,0.41574141512387797,0.6952365420729609,0.4860795658640842,0.29828915451208704,0.47300927984802726,0.42234838908064964,0.5147808727887393,0.468701984139988,0.5669501764008887,0.4888954095009019,0.4037641774156883,0.4623502806799553,0.2900794417631673,0.5429044910144357,0.531073967272272,0.39194043049532784,0.42608621947021424,0.27276921884938793,0.3185851664732549,0.43462644101986136,0.33944809030640616,0.41023944189908873,0.32428403538509654,0.5045252870010619,0.4774452150303164,0.2683410949523801,0.445522943500985,0.4116084127412721,0.4086932611566844,0.426620752290011,0.4619507149826021,0.44537262570537944,0.39714609912018645,0.4400625889848891,0.4964576098597056,0.40785824665624737,0.2942138180538791,0.43301606096720335,0.4821992865114988,0.5101774276977256,0.42314425580319603,0.1990960820371387,0.44513649487525303,0.5048245278830807,0.4202985055713134,0.30840929421501867,0.4507231902188997,0.24932204568447025,0.19633884392636733,0.4996055285914636,0.4135209282927818,0.21971951816509774
Sigurd,0.45912376544023964,0.2824619834891723,0.35226461513368895,0.4108979081717833,0.49704108139959907,1.0,0.5545236199139949,0.44201812409467783,0.3752802159509938,0.4525327650744455,0.500743372525629,0.42434795400470376,0.3632756826561116,0.5133032690119048,0.5025766798276673,0.2288064895587164,0.47553572948092027,0.5086028754210536,0.3494981065322956,0.5608574472767082,0.3605035842903181,0.616752422677918,0.4218988850038629,0.48271210253187696,0.6063424225998635,0.4644084441397142,0.30662970078997664,0.5587788797303458,0.3338566843977003,0.5077758939307082,0.40303558981503157,0.45581577923483424,0.2345881943993326,0.4179159145970717,0.5974136060127142,0.5152373170617784,0.5953233094345787,0.43512872297694827,0.4347997287589007,0.45498332772879374,0.3597257960400321,0.4352453807505407,0.42770208260951664,0.5666548689171894,0.6096107338292062,0.386500929762307,0.46247998720950423,0.40090639449517357,0.4050926853826766,0.4428601587786274,0.5896071063335365,0.4066740205660139,0.586648777622898,0.5057587219829945,0.5432130614026861,0.5234970374734398,0.4131429424166941,0.4981639355344486,0.5173087025044772,0.42824209502393146,0.3730127787019624,0.29560569952924276,0.5707389352216315,0.5090804679996626,0.5044214915362961,0.33884890444428123,0.3517790438338862,0.5006507514511587,0.5778501925002821,0.35428867288567195,0.5048305735815536,0.49660233955842364,0.48140886414162937,0.35840037818154413,0.561953497028306,0.4997563932023306,0.5701648940418448,0.4850516896342323,0.5156958163519373,0.5250321147295427,0.4680403636887139,0.5623049199886341,0.5179867127237653,0.4082707980722281,0.4056457530875569,0.5664836240501643,0.5802159456362463,0.5592997399030859,0.5177836560703006,0.21560180282759894,0.6230967272605881,0.4577056243941673,0.43810027070917634,0.3182401474568309,0.5675777542942422,0.23926205771862297,0.1849718400704382,0.5440188474761639,0.33040530390877443,0.22744552532206516
Streams,0.6543336221145198,0.46808060010117436,0.6240037449660284,0.44209188359866913,0.3910048401421577,0.5779030397264749,1.0,0.6568315995319172,0.480346433324159,0.6114162479955154,0.6339169103689926,0.3780586501681305,0.4081686017925966,0.7041936095602003,0.6145125133921782,0.3479537563880147,0.6894895895684913,0.3508248922538315,0.7332351393170704,0.7219472055371794,0.3651350395840654,0.7311500789780019,0.5703936704263948,0.781756818425429,0.5807969130081587,0.7317922211841443,0.7468076458515747,0.6052934359762787,0.39748460511042943,0.6690252732438919,0.38036848314375943,0.7012246217813851,0.28071664887153547,0.3960814791913894,0.6577878427115326,0.6259075921251753,0.6571999365562277,0.7036562714816066,0.5900919561377115,0.5927232389423451,0.3695671929060265,0.35467113425188834,0.5377673906249811,0.7851715965732567,0.5996147997802548,0.4041876323561009,0.6039165115088001,0.5817171389084961,0.5957359268887691,0.502867204056552,0.6296724210304975,0.5611818097465395,0.6575346085941075,0.658162427514227,0.35273403310606705,0.7283025933979705,0.5084588611332456,0.6431539517991938,0.4791094341136821,0.6287758936108321,0.42708552597899235,0.5518158562758806,0.6662559543039428,0.620111015677826,0.63906307069205,0.4261101950278055,0.4114406600754879,0.36582561117929424,0.6688683879352266,0.38547154789676724,0.24435524865020464,0.7314791337336296,0.6231827202752166,0.4153224625958121,0.6646642258445336,0.5788480850151712,0.5396626263291223,0.28727029804984233,0.6968167151432494,0.6403680165489115,0.2525032549948741,0.6855217294663983,0.32493824498500523,0.5662393341144523,0.5547693000492612,0.5924058949443327,0.32833344034729434,0.6478487613980017,0.6909852560632893,0.2913447977535245,0.7291112115128114,0.6524295212165169,0.6570279711058623,0.30745835731552057,0.65232445414346,0.3365022453053338,0.246815283681516,0.3575038390063384,0.4568198196016748,0.2787999939977658
Har,0.5566119872465403,0.36436499512843007,0.5410263976043436,0.43154898104596706,0.4354639629152698,0.4618880534276855,0.6752718247013824,1.0,0.4319365051425518,0.4912056433590049,0.5627600968295149,0.519526402684946,0.4934377244153382,0.5577617045957874,0.5597520090047999,0.2716216383449598,0.5574794170085529,0.6046694962307345,0.5852796012346423,0.614454091786324,0.568277026879033,0.503672603161885,0.47859895206395175,0.5948761045591532,0.5255202716923335,0.6335015209554332,0.6129274006758011,0.4838705897787478,0.36155990931298376,0.534176862817242,0.5254040565744317,0.63312428710635,0.40460880478173183,0.49730331356055696,0.5871999332262764,0.5507064990425415,0.5825484578982563,0.4419073341782403,0.5001286484540924,0.6305887044856634,0.5959220179005678,0.5366073721601399,0.6375927137690536,0.6803799819418185,0.6073449504605866,0.36475678898319985,0.6340458646713079,0.47691548976133313,0.5907936351356278,0.7750544531391149,0.5914234977147086,0.47454526784893764,0.6302650285270472,0.5722889287870588,0.575904561416757,0.6476302734417292,0.43602780171668887,0.5521592451355066,0.6649971049309946,0.5507371208309988,0.4566655754407905,0.6111115628640513,0.663152369568718,0.5574540702836396,0.5695626661218784,0.39549695255968814,0.39496029391445087,0.6359771383038401,0.5871086176721075,0.4618170550144803,0.36743550246403606,0.6623337270526234,0.598860085099231,0.4633348009497384,0.6434032587284558,0.5993821451694031,0.5056132716862045,0.5061435396664603,0.6433022424492411,0.6800255123434218,0.6100663776132232,0.5937866072301257,0.7056916080639771,0.48912024772964546,0.5007183170228099,0.6867804723315981,0.6140621431974657,0.6264869238488098,0.6356355533609591,0.27754639528177694,0.6324550294114074,0.5880414791290854,0.6810233361629704,0.339128679913762,0.6556613868848135,0.2888995394606913,0.21129878344966985,0.6928113121877313,0.34148791343993096,0.25446211582788586
Hogne,0.5080025276673961,0.3509048639024348,0.5697041237899401,0.40988371312966126,0.41581765922204494,0.4876035290535172,0.5885394782586196,0.5541359482724099,1.0,0.45056828926634174,0.3980889668157968,0.49361618002292873,0.4238219662873053,0.5598727237128648,0.29817036862223856,0.5432663736016017,0.5375465860134186,0.5059741684337019,0.7569030124226869,0.5759600279848641,0.42148273890962523,0.6107555885313859,0.6598071998619208,0.5829925529090617,0.5619186120054522,0.5569601695773189,0.38092842320701054,0.49760125073367906,0.4367173629687813,0.5734310378274246,0.5419197335120299,0.5446379130112305,0.31196120137262323,0.5174087411925675,0.6442379062624664,0.5425425055918427,0.645437869283264,0.5154665831662346,0.40580807640434813,0.6418856081719632,0.5877490286913448,0.5986030891507672,0.6381738485531908,0.5772520443272191,0.5683208132343767,0.3791413549037734,0.6431501875305253,0.37289077193403897,0.48389956238849496,0.5656201072501268,0.6475212767410427,0.44313881701034186,0.643971745114877,0.5454881062187208,0.4513575513585784,0.554738081106601,0.5120115563241805,0.6065219124062484,0.48066053706494977,0.5347393393375439,0.3469670100699876,0.6116982171539294,0.7335687645687258,0.628137862244361,0.542962774170603,0.35780130437449537,0.4311920882213228,0.5755549946946741,0.5730447246732472,0.4411072895493578,0.4175510295220356,0.6079336820174798,0.6586090715885615,0.36854359663485126,0.6132110933167304,0.5826951200802727,0.657916652814835,0.6401136887602874,0.5715567249895345,0.603925305079727,0.20808465923419184,0.5601011646292382,0.6257885377791429,0.5868957726106879,0.4528763060039831,0.5373801179914778,0.6509618176576989,0.6202699476655364,0.5672342762212396,0.6282111949707206,0.6513788639935928,0.5361756198403964,0.6991997067937137,0.3862675093775286,0.5599615061859804,0.31375707154140314,0.4413527414903513,0.5876557412913012,0.5359333788323848,0.6297685413844912
Balder,0.5702893818264126,0.4011946696783644,0.5954573091879433,0.5604775026268244,0.6127969230382277,0.48234498193002734,0.611479062441418,0.40760847901918357,0.3930976325679777,1.0,0.6328157385355447,0.5098692935725554,0.4646300999321512,0.5830431871859949,0.6150876590634056,0.2673778669744089,0.5295378376667418,0.7155550176475629,0.6232568036862509,0.6037235696795825,0.49390625062582455,0.3759805969192985,0.45078479481557177,0.653689661640683,0.43509424087272386,0.6961244482870159,0.597149975941395,0.6611058423953429,0.3265265433391357,0.4289595573365045,0.6142606167755814,0.6480808741997401,0.22751455432120032,0.48549525488631184,0.5657096597952787,0.5729021228325258,0.5642638435250028,0.5625434615023732,0.47307685368238894,0.45365736103042936,0.5508880167898216,0.44939984414689055,0.4304696686720158,0.6412958687447278,0.4894883694428805,0.5215408343280898,0.461686303779416,0.45239857805952793,0.5613394633926886,0.3824817213383904,0.5353919315440273,0.4240622987947281,0.5339487227080452,0.6152149288025286,0.6124978148797747,0.6199469196972156,0.363881312382476,0.5003934905453062,0.38171752986018426,0.5092510719559928,0.35528206122377676,0.5505460388415179,0.5367803875134265,0.5014064521992602,0.566212858749647,0.2934712098378581,0.3540170632591102,0.6170228194056794,0.5297599022985138,0.4195151241692882,0.32554569845853143,0.6279683415576035,0.523105522116359,0.3456845496753266,0.6268267290947495,0.6532300631777291,0.42592620240212636,0.46133447996790267,0.5936825018886556,0.6208314455094907,0.6010536466178439,0.6248103199870737,0.6457940688269038,0.45077119193266335,0.409914280062882,0.6046688259162541,0.5894753871679175,0.5585696774879019,0.5822882633732306,0.22995814651897867,0.5866358144119754,0.7076585151511642,0.6676795337550386,0.3094280641141666,0.49483244759462075,0.25704177639866893,0.19567976564741027,0.6111010919988629,0.5839407355721009,0.22572597618789414
