,Ino,Epimetheus,Palace,People,Admetus,Greeks,Phaethon,Zeus,Men,Pegasus,Goddess,Crete,Wife,Perseus,King,Hand,Love,Greece,Thisbe,God,Beauty,Minos,Queen,Athamas,Medea,Aphrodite,Aegeus,Man,Athene,Persephone,Apollo,Eurystheus,Olympus,Athens,Son,Atalanta,Bellerophon,Theseus,Athenians,Nothing,Sea,Myths,Demeter,Daedalus,Danae,Adonis,Day,Meleager,City,Hermes,Time,Place,Pelias,Head,River,Prometheus,Father,North,Niobe,Sun,Aeetes,Heracles,Cerberus,Tmolus,Cheiron,Hera,Year,Augeas,Mother,Jason,Poseidon,Aethra,Gods,Heroes,Hades,Acrisios,Minotaur,Polydectes,Land,Ocean,Midas,Pillars,Wine,Way,Hyacinthus,Hydra,Earth,Daphne,Africa,Wind,Proitos,Dionysus,Leto,Argo,Tribute,Hero,Greek,Psyche,Spring,Arachne
Ino,1.0,0.0,0.0,0.0,0.27517388483631977,0.3035911761911877,0.0,0.27771493701960237,0.0,0.0,0.0,0.28560373991660204,0.0,0.0,0.0,0.0,0.25913920721684114,0.0,0.0,0.0,0.0,0.0,0.20771337779507323,0.47315135621649446,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27969816371141804,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29573484688230756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27195446660661626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Epimetheus,0.1762456603117755,1.0,0.24215227600608127,0.23464229109867846,0.1547170089967627,0.20180676873196993,0.31717775342196614,0.329424377730092,0.2137638540001602,0.2170469055245608,0.34826900614807954,0.17596666784134668,0.16141887668686605,0.20487778138860732,0.14494986363604112,0.14326308513259162,0.1509861813913226,0.15049963814708106,0.24667680740118872,0.39515608071434816,0.3158545476628066,0.2208774629573857,0.17197745194047123,0.26087990833142366,0.30037156921843017,0.16012384985722447,0.2882156052229977,0.2047207362879299,0.4768514265408819,0.2307714224152798,0.1981147342660887,0.16177849896591506,0.24932621635785604,0.19783427677119983,0.1459027736559282,0.20344305329079068,0.253220696085659,0.16385865190503626,0.22147450293753643,0.3860707563503944,0.16126179557000642,0.14882135551938236,0.3204866018585503,0.26829495094312666,0.2501928700594143,0.2415776116174246,0.1538157813938117,0.17207606425293615,0.43694817558987903,0.2716140132841892,0.37061241505370146,0.17273610711576204,0.18243997232814463,0.3409005503934259,0.16331054587448138,0.29432654543435044,0.2769012114433478,0.1750325287466569,0.29384475919259173,0.3611921382541932,0.22735824167906213,0.2154198086958368,0.17024767405185745,0.25429848632144786,0.17397324542107528,0.25324222239808497,0.2547741779215319,0.18023951175221342,0.3153019327701888,0.2074187741640883,0.3588836696596038,0.3323125631204885,0.20579039412863356,0.1758763197933719,0.43426528602815384,0.25265371730267566,0.22444392480681458,0.18931806553350083,0.41425688510791436,0.24313233380083019,0.2482665305434024,0.17726701479027943,0.19440635215457439,0.16798069475877586,0.21259368949679913,0.1834728310766113,0.31547837550422253,0.2621089619505033,0.38177989909236987,0.22717374714431632,0.2808791139203593,0.31562403956804574,0.2593894907521789,0.3465910553493333,0.24574796813387234,0.2478785663348087,0.1767494101872684,0.13972281925507252,0.2860927316648219,0.2529888885917261
Palace,0.0,0.23102452014731048,1.0,0.3708496117893076,0.29589961635955364,0.29539387603834893,0.3383098965927691,0.3693862544500532,0.29576154633885304,0.0,0.4093619937624499,0.3759129209642418,0.2689896790820543,0.32939751270728745,0.32880830465402516,0.28764371753016205,0.6647122290487028,0.29603072662341184,0.22788223676522162,0.5083242613464567,0.34173328914322837,0.35586222931480754,0.29950983934203174,0.24572665074555505,0.389234779964281,0.26692828701080784,0.3799760299028737,0.30618389168950183,0.4046002877692752,0.31702068970383024,0.31032904572859665,0.3086034396946693,0.6943010324435941,0.4874128337674097,0.36575812649527945,0.31018620610375025,0.2932842524998211,0.33010960477775664,0.3409680979347676,0.25720467581745654,0.3945741441142754,0.6340664810413,0.21408948288800264,0.28231997605471687,0.28700405707092386,0.23302927990475333,0.31087406325463146,0.32127350780134073,0.3981747019070176,0.28546664235293207,0.2694544007329513,0.3049290565527096,0.3687545557068352,0.4515286787223703,0.2707293528722141,0.2857356937053569,0.39229836804103185,0.7645344409815659,0.2408652332730803,0.3821905088613655,0.2248620674171003,0.23727902833133324,0.5901259207069883,0.26708927683498085,0.28684744965680264,0.3061973373456193,0.7811593631392609,0.7893299026588243,0.3658106400014883,0.3151415820164659,0.37268233024044295,0.5057756189912105,0.38295119908768294,0.3260470334978629,0.30235789440594796,0.34044435939354,0.26349664488460456,0.3099121356372406,0.3564134978265858,0.7889810847924823,0.26233490486791866,0.27597365540117436,0.8212916620082708,0.6449260663514036,0.24869984205533494,0.7607283423362042,0.3887788881683662,0.24599350645164977,0.0,0.6386033088523955,0.2785926843731327,0.37889889785770414,0.281494430021227,0.25848937154738766,0.0,0.27787387030077076,0.2835049783766659,0.36395239658618417,0.4567492565856194,0.2774317616631857
People,0.0,0.3423059258193688,0.3858412368458131,1.0,0.3548588770518723,0.423565262659409,0.3186608119864442,0.31196941632944675,0.3265985656226067,0.0,0.354925543790924,0.3558985162036095,0.42980229183807345,0.4145594297999526,0.4151273511853115,0.3284969269475608,0.7123724540903758,0.29707320958246863,0.33798653187360084,0.5286328800590907,0.3239193483940747,0.19269972737368363,0.4451898037257487,0.1907594747477502,0.4231258279827729,0.35914770572737514,0.45129355185097647,0.38187282761996627,0.4031120758822072,0.4452449406766569,0.35257813555667933,0.37288182541851567,0.29752514550112835,0.45693312301539196,0.2677234281599557,0.3390542647616275,0.3454569126040906,0.30172982636600226,0.3592022807977703,0.31041753817528067,0.3599598354389617,0.4830319981400953,0.2797613286481306,0.15212286630524152,0.1981246047684231,0.2165768523370367,0.3715453663640056,0.6501238249420596,0.3465725734577776,0.40958555453096407,0.34802947612703555,0.34536329746991545,0.41965966034714397,0.39875712262191004,0.36146773419555916,0.2660349443695079,0.4027165690925729,0.40755853646025914,0.2733126566403382,0.32054367528198824,0.2522973862523926,0.23226486687192122,0.5458724995070718,0.28738172635854986,0.5437299480684595,0.3483450725871268,0.7176441236309774,0.7096376281542957,0.37724818832312884,0.2790921765327002,0.351524398902443,0.37510206058533746,0.4235445984201618,0.20861840697820974,0.33375883605811146,0.24801086794418556,0.24151396439706524,0.39041819927403804,0.3258545468952441,0.35644928671204995,0.2634783487765812,0.3623312440967704,0.6435341411916211,0.5830799018606551,0.2425524938264941,0.7285976083940591,0.27290114920498276,0.26319333696421243,0.0,0.47277214179102284,0.25143102193134215,0.3712810133466726,0.29999896353843036,0.2916236684515461,0.0,0.31737356776059533,0.4868834336835083,0.3764801955282526,0.2794228177957879,0.2642418065280788
Admetus,0.0,0.23988334231187108,0.34509697712151194,0.316798785169976,1.0,0.3633616733700824,0.41311185990554483,0.48032307448854433,0.43990147790094736,0.0,0.32365811569472963,0.33100235729455657,0.42515509204607277,0.31753809379285786,0.41596125409174256,0.3495571364842398,0.283337866056737,0.4030624840305947,0.0,0.2963212292694626,0.25355406045139406,0.1674604116035258,0.4313579076600864,0.0,0.3018316666671799,0.37014854249208223,0.47152766793722056,0.4208274130385116,0.255741142589214,0.3101287389885326,0.40668520815134795,0.5312546562940644,0.4273459821360003,0.41780540961181856,0.31400100772537,0.2992958680957453,0.363498497705808,0.42274878987487136,0.33568458306846477,0.4450102701238444,0.43025139374077126,0.2156352230930283,0.2305713958352647,0.0,0.2865621414014388,0.2417586776528986,0.42095684344435025,0.38943994426679496,0.4154948802284488,0.2701373566186297,0.4005695543036508,0.4422899633385604,0.3752684359251947,0.2069362825293638,0.4305854557993395,0.31113447168778763,0.3921242574292425,0.2861283946479389,0.18547585653959084,0.2821890706297128,0.22561402514348083,0.3000145988248185,0.3036829648725902,0.22127374608992698,0.42759550853854456,0.46506028234329677,0.39655256888274903,0.21700389515350252,0.35789781497861073,0.2784128815275934,0.32593134839924365,0.3351210399328057,0.36643128613264225,0.33041684197457155,0.4652589693427335,0.3359660103196382,0.0,0.20814846284436406,0.45382584511083274,0.32374517694773647,0.1561045192212348,0.2153913416055835,0.24872334780005786,0.4422240254845837,0.17983350923205788,0.23219087557299817,0.15875895690543645,0.2888317692027424,0.0,0.30645690126454395,0.22998130800258967,0.0,0.0,0.2486792830528023,0.0,0.4409127163092108,0.37584518801215383,0.37008060505742524,0.3005871801497267,0.2182039037265046
Greeks,0.0,0.19419030867453532,0.4157160025300622,0.486436760957656,0.449570231750348,1.0,0.42033291710028153,0.38562644541626134,0.3084276241142888,0.0,0.3907261183101975,0.3491029051058903,0.46929462087011936,0.32411007797462377,0.4769390721281057,0.34097628292009075,0.32125290677729457,0.432525616844086,0.0,0.5323146529132089,0.3898590219671283,0.19279940055139067,0.5783160624503777,0.0,0.3203567328713754,0.4020272615148288,0.5699859829096277,0.4059695618169132,0.2591566809336182,0.2768430334064945,0.28671799125259934,0.306135593800291,0.4969299173372112,0.44712271687824123,0.5020609901482174,0.3087178904349585,0.5502617548520922,0.3372870975701676,0.3095497679996862,0.4902718933951308,0.5116931918185891,0.23524607224442307,0.7617254978101407,0.1582297772421476,0.26102408444819875,0.24737352001310275,0.5131316288623577,0.5493996935009041,0.5206343474596065,0.2901619865957674,0.40780726853183485,0.5248318071060223,0.48335656696855445,0.40429696494449685,0.5016688321959969,0.34345273095454704,0.4558987485132384,0.3683943779014948,0.2063898425963624,0.18862130781051786,0.19758824653571608,0.6002121353292146,0.3348884551337996,0.2791229374524103,0.5618719679723159,0.5092660721655293,0.5270109229808144,0.24845787586635176,0.8747683450243137,0.3012465990563946,0.2571580508348977,0.3328240357700261,0.3790896740213647,0.4001983053334542,0.47064298233360347,0.6318808194033654,0.0,0.22534199093842436,0.35172544686346124,0.41932586721728904,0.23051091972933396,0.27612813018462673,0.3287257049780776,0.5133818661812576,0.23960894600388954,0.27725369035163633,0.16723727897444332,0.34096131596077406,0.0,0.3469410001819727,0.2456312210445273,0.0,0.2386139018330546,0.32273055071446216,0.0,0.5113010758033844,0.39706148329824875,0.3683792529523931,0.4305775260557215,0.25014284738071363
Phaethon,0.0,0.27773197496459284,0.4928368657181049,0.2800155845344358,0.42964812007458,0.36862336740999524,1.0,0.38396011458923024,0.5453303320562101,0.0,0.369222407542108,0.5427967663731549,0.49526076331615504,0.30403023974077215,0.38182202920418656,0.5094479404342582,0.5240581711931075,0.5202475762460124,0.20728799726638755,0.22777950534247685,0.24605606125210883,0.4054642882434156,0.4679630704039828,0.20059798961006634,0.381209906329793,0.3863764780916228,0.41079597092813064,0.3779078349784677,0.5398067365884188,0.46422253032206606,0.3515416789956181,0.30279106858177346,0.32247360527932023,0.38646075433108906,0.2582498893468158,0.3917518873644174,0.2235861449963915,0.30823891839037093,0.27563230440242287,0.47337970767973936,0.5415919325745393,0.28727448863089194,0.5531951900310754,0.31353070478354533,0.36800115624856156,0.22387235435273184,0.20641792446153692,0.574598789178285,0.5308454983107328,0.42976853543636734,0.338378365190065,0.43325022950590775,0.46271739623033065,0.552240694161422,0.39740946850210185,0.3376019088942861,0.45048923938686974,0.5034251464489383,0.5090695867924339,0.4481515379665545,0.1986640018919454,0.2389814874525596,0.5537407292858209,0.14340894820328703,0.5384045864461227,0.5602905501719608,0.5654063436012292,0.5125224743954566,0.23904212674404035,0.27896288915069783,0.32367520601511807,0.3936367340432957,0.42355446524975676,0.5265950886702158,0.5479797313018079,0.5080972131918542,0.2208331824522688,0.3180999531371336,0.4557208050006504,0.47425786244951795,0.27987684384724254,0.5006282417496782,0.5302005013373237,0.5052824147385212,0.2242565743917023,0.5071761941126715,0.5600682354056985,0.15876555787542884,0.0,0.46275034399677,0.3708195369842029,0.33436080883094965,0.3519402290341331,0.28204647897657026,0.0,0.5109031918025392,0.3043118498642518,0.4995144791355895,0.28459340097836433,0.22510328532341875
Zeus,0.0,0.09169839412770862,0.40972846926547773,0.4952703028501466,0.5209157894911165,0.3171945666902568,0.3141212100170202,1.0,0.39101058764604835,0.0,0.33866731255646276,0.28126956798999797,0.5889755620347062,0.2814771206640051,0.4087514756106188,0.28950779051458053,0.22439138712422527,0.3369697048558817,0.0,0.5285479061071189,0.2237137750006756,0.14179046346924085,0.4832910784173681,0.0,0.2676605243691355,0.326795241016542,0.43954228615095303,0.41712692822702097,0.23562761266938984,0.356709872415507,0.34030487305835344,0.40211855021423915,0.26162813752284814,0.3721603622939858,0.27507420956977563,0.27701337128998704,0.2172650764520533,0.3299678726196648,0.21994348383129267,0.5036133178858647,0.4189743230944122,0.17747493430855257,0.20799553025450684,0.15592522298318418,0.20316361519149295,0.18658613784985043,0.5266740876033744,0.5948336371315978,0.36440336978685245,0.18939805601917964,0.36700939930521254,0.43783262197366357,0.403866843052474,0.20953884498984326,0.4257702181464717,0.2088519043483688,0.40213650638957577,0.2601026312311622,0.14662275983055695,0.3819331760093454,0.17196336340018964,0.27467412656420676,0.2628513426359636,0.19843370044699596,0.631130606589597,0.30930925730639747,0.2832011132228478,0.19065335845985062,0.3722784111119703,0.24636087368870535,0.30199682398502065,0.31612136076832525,0.16142000658081485,0.46723632697719875,0.42915160012291925,0.5912104751661609,0.0,0.1791688005101291,0.6136700658899482,0.2877418049748722,0.14575605482174042,0.19218820937927697,0.2435523017354723,0.586010423665608,0.1729832111787443,0.20817238493886636,0.15663108542909546,0.30251131899860056,0.0,0.3699234776020389,0.19971755192280002,0.0,0.0,0.23129786798600038,0.0,0.43195272137796625,0.3031976302845746,0.40212960749961907,0.21613428040198765,0.1777833663611317
Men,0.0,0.12599887935605114,0.4495827792062959,0.29319770597900296,0.5718492458916019,0.3560942364599054,0.3953398620544211,0.4646106656985142,1.0,0.0,0.3600563543919342,0.3164789487305601,0.40461083061559233,0.27006551211354174,0.4615046378488703,0.37253875627863625,0.27290257110886107,0.399465298308795,0.0,0.43375091557593964,0.23417028887646466,0.16408864578048843,0.4140074342511281,0.0,0.28944964589706934,0.20301529705743895,0.49599648717277456,0.4432752078827914,0.26443827208903226,0.28140822906942475,0.41936714888941934,0.49455839594338064,0.3983662321839978,0.38458761406618003,0.3334887729015892,0.14955418433325987,0.2411765722946038,0.404109394972039,0.3112695909308257,0.4273799026592942,0.423959322540182,0.20624153036908174,0.247752759427059,0.13839429575571266,0.17378484026601432,0.2017876783548999,0.27193440143027264,0.1630140162682324,0.4072448611820904,0.24883503160793133,0.4738347751321048,0.42827926863448973,0.4423839448402394,0.3423348879928743,0.3974483710420526,0.2629728156782789,0.48216623970589256,0.2791420421541964,0.29657804405920446,0.34729109279251497,0.15893763824598037,0.45829702668994393,0.2877653736596095,0.2578937000945475,0.41074968481928825,0.454350327162935,0.3779993081325541,0.20145550868076548,0.464702317894217,0.2737367202058576,0.21621697927480765,0.3812336934572562,0.40212215168115445,0.2622252900631043,0.42158032318739597,0.4008185367499507,0.0,0.1891110475574428,0.43705677275261473,0.30632848624556774,0.24375460259065007,0.20351884268322992,0.25631235805044794,0.3985334042941615,0.23130703449532178,0.2196032977439139,0.1495659033514646,0.28144909698840903,0.0,0.3524936899876314,0.3384237966910199,0.0,0.0,0.2680771029239879,0.0,0.4471843034859847,0.3584677653098534,0.34024947684648627,0.21360295640234933,0.18038401007763383
Pegasus,0.0,0.0,0.0,0.1824876086647891,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.2772858244766021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2342330836098816,0.7738590440163172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
